"","text"
134,"A Sensorized Nuss Bar for Patient-Specific Treatment of Pectus Excavatum."
135,"Pectus Excavatum is an anatomical deformation characterized by a depression of the anterior chest wall. Nuss technique (representing the current clinical golden standard) consists in the introduction of a corrective metal bar, in order to raise the sternum in its anatomic natural position. Nowadays, the bar plays purely a mechanical/corrective action and is kept implanted for about three years, supporting up to a maximum force of 250 N. Our study aims at optimizing the procedure of correction, in terms of monitoring the bar effect, minimizing the body response, and facilitating the bar removal. The sensorized Nuss bar prototype inserted in a platform for telemedicine described in this article is able to monitor in vitro pressure data variations, with more than 150 discrete measurements during the operating period. This behavior is promising for future clinical applications, in which the device could be exploited to monitor the forces at work, thus, providing a customized therapeutic protocol, which in turn may optimize the period of implant. The sensorized bar was also provided with a polymeric coating, able to influence human dermal fibroblast behavior in vitro. This highlights the possibility to minimize, in future in vivo applications, tissue fibrotic responses."
136,"Changes in Catastrophizing and Depressed Mood During and After Early Cognitive Behaviorally Oriented Interventions for Pain."
137,"Catastrophizing and depressed mood are risk factors for poor outcome in treatments for pain and appear to act as mediators for favorable outcome. However, little is known about how catastrophizing and depressed mood co-occur within individuals and how these patterns change during treatment, which is the focus of the current study. The study uses data from a randomized controlled trial about early cognitive behaviorally oriented interventions for patients with nonspecific spinal pain (N = 84). Cluster analyses were used to extract subgroups of individuals with similar scoring patterns on catastrophizing and depressed mood at pretreatment, mid-treatment, posttreatment, and at 6 months' follow-up. To track individual progress, the clusters were linked over time. The analyses revealed four clusters: ""low depression and catastrophizing"", ""high depression and catastrophizing"", ""high depression"", and ""high catastrophizing"". There was little individual transition from one scoring pattern to another across time, not at least for those scoring high on both depressed mood and catastrophizing. Moreover, high stability within this cluster was related to low levels of psychological flexibility at baseline. It is concluded that catastrophizing and depressed mood at the start of treatment were likely to remain high despite a cognitive behavioral intervention and that a lack of psychological flexibility may have a role."
138,"Association between DAPK1 Promoter Methylation and Cervical Cancer: A Meta-Analysis."
139,"BACKGROUND: Death-associated protein kinase1 (DAPK1) is an important tumor suppressor gene. DNA methylation can inactivate genes, which has often been observed in the carcinogenesis of cervical cancer. During the past several decades, many studies have explored the association between DAPK1 promoter methylation and cervical cancer. However, many studies were limited by the small samples size and the findings were inconsistent among them. Thus, we conducted a meta-analysis to assess the association between DAPK1 promoter methylation and cervical cancer. METHODS: We systematically searched eligible studies in the PubMed, Web of Science, EMBASE and CNKI databases. Using meta-regression, subgroup analysis and sensitivity analysis, we explored the potential sources of heterogeneity. The odds ratio (OR) and 95% confidence interval (95% CI) were calculated by Meta-Analysis in R. RESULTS: A total of 15 studies from 2001 to 2012, comprising 818 tumor tissues samples and 671 normal tissues samples, were analyzed in this meta-analysis. The frequencies of DAPK1 promoter methylation ranged from 30.0% to 78.6% (median, 59.3%) in cervical cancer tissue and 0.0% to 46.7% (median, 7.8%) in normal cervical tissue. The pooled OR was 19.66 (95%CI = 8.72-44.31) with the random effects model, and heterogeneity was found through the sensitivity analysis. The I2 = 60% (P = 0.002) decreased to I2 = 29.2% (P = 0.144) when one heterogeneous study was excluded, and the pooled OR increased to 21.80 (95%CI = 13.44-35.36) with the fixed effects model. CONCLUSION: The results suggested a strong association between DAPK1 promoter methylation and cervical cancer. This study also indicated that DAPK1 promoter methylation may be a biomarker during cervical carcinogenesis that might serve as an early indication of cervical cancer."
140,"Retention and Risk Factors for Attrition in a Large Public Health ART Program in Myanmar: A Retrospective Cohort Analysis."
141,"BACKGROUND: The outcomes from an antiretroviral treatment (ART) program within the public sector in Myanmar have not been reported. This study documents retention and the risk factors for attrition in a large ART public health program in Myanmar. METHODS: A retrospective analysis of a cohort of adult patients enrolled in the Integrated HIV Care (IHC) Program between June 2005 and October 2011 and followed up until April 2012 is presented. The primary outcome was attrition (death or loss-follow up); a total of 10,223 patients were included in the 5-year cumulative survival analysis. Overall 5,718 patients were analyzed for the risk factors for attrition using both logistic regression and flexible parametric survival models. RESULT: The mean age was 36 years, 61% of patients were male, and the median follow up was 13.7 months. Overall 8,564 (84%) patients were retained in ART program: 750 (7%) were lost to follow-up and 909 (9%) died. During the 3 years follow-up, 1,542 attritions occurred over 17,524 person years at risk, giving an incidence density of 8.8% per year. The retention rates of participants at 12, 24, 36, 48 and 60 months were 86, 82, 80, 77 and 74% respectively. In multivariate analysis, being male, having high WHO staging, a low CD4 count, being anaemic or having low BMI at baseline were independent risk factors for attrition; tuberculosis (TB) treatment at ART initiation, a prior ART course before program enrollment and literacy were predictors for retention in the program. CONCLUSION: High retention rate of IHC program was documented within the public sector in Myanmar. Early diagnosis of HIV, nutritional support, proper investigation and treatment for patients with low CD4 counts and for those presenting with anaemia are crucial issues towards improvement of HIV program outcomes in resource-limited settings."
142,"An evidence-based method for examining and reporting cognitive processes in nutrition research."
143,"Cognitive outcomes are frequently implemented as endpoints in nutrition research. To reduce the number of statistical comparisons it is commonplace for nutrition researchers to combine cognitive test results into a smaller number of broad cognitive abilities. However, there is a clear lack of understanding and consensus as to how best execute this practice. The present paper reviews contemporary models of human cognition and proposes a standardised, evidence-based method for grouping cognitive test data into broader cognitive abilities. Both Carroll's model of human cognitive ability and the Cattell-Horn-Carroll (CHC) model of intelligence provide empirically based taxonomies of human cognition. These models provide a cognitive 'map' that can be used to guide the handling and analysis of cognitive outcomes in nutrition research. Making use of a valid cognitive nomenclature can provide the field of clinical nutrition with a common cognitive language enabling efficient comparisons of cognitive outcomes across studies. This will make it easier for researchers, policymakers and readers to interpret and compare cognitive outcomes for different interventions. Using an empirically derived cognitive nomenclature to guide the creation of cognitive composite scores will ensure that cognitive endpoints are theoretically valid and meaningful. This will increase the generalisability of trial results to the general population. The present review also discusses how the CHC model of cognition can also guide the synthesis of cognitive outcomes in systematic reviews and meta-analysis."
144,"Contribution of Psychosocial Factors to the Association between Socioeconomic Position and Takeaway Food Consumption."
145,"OBJECTIVE: To examine whether psychosocial factors mediate (explain) the association between socioeconomic position and takeaway food consumption. DESIGN: A cross-sectional postal survey conducted in 2009. SETTING: Participants reported their usual consumption of 22 takeaway food items, and these were grouped into a ""healthy"" and ""less healthy"" index based on each items' nutritional properties. Principal Components Analysis was used to derive three psychosocial scales that measured beliefs about the relationship between diet and health (alpha = 0.73), and perceptions about the value (alpha = 0.79) and pleasure (alpha = 0.61) of takeaway food. A nutrition knowledge index was also used. Socioeconomic position was measured by highest attained education level. SUBJECTS: Randomly selected adults (n = 1,500) aged between 25-64 years in Brisbane, Australia (response rate = 63.7%, N = 903). RESULTS: Compared with those with a bachelor degree or higher, participants with a diploma level of education were more likely to consume ""healthy"" takeaway food (p = 0.023) whereas the least educated (high school only) were more likely to consume ""less healthy"" choices (p = 0.002). The least educated were less likely to believe in a relationship between diet and health (p<0.001), and more likely to have lower nutritional knowledge compared with their highly educated counterparts (p<0.001). Education differences in beliefs about the relationship between diet and health partly and significantly mediated the association between education and ""healthy"" takeaway food consumption. Diet- and health-related beliefs and nutritional knowledge partly and significantly mediated the education differences in ""less healthy"" takeaway food consumption. CONCLUSIONS: Interventions that target beliefs about the relationship between diet and health, and nutritional knowledge may reduce socioeconomic differences in takeaway food consumption, particularly for ""less healthy"" options."
146,"Long-term follow-up of adult men born with hypospadias: Urological and cosmetic results."
147,"PURPOSE: To present data on long-term functional and cosmetic results after hypospadias surgery. MATERIAL AND METHODS: Men > 18 years of age with hypospadias treated in Sweden were asked to participate in the study as well as age-matched controls and circumcised men. All participants answered questionnaires and a subgroup was examined during an outpatient visit. Relationships with outcome were analysed using analysis of variance and regression analysis. RESULTS: 167 patients (mean age: 34 years, 63% distal, 24% mid and 13% proximal hypospadias) and 169 controls (mean age: 33 years), answered the questionnaire and 46 patients and 49 controls came for physical examinations. Patients were significantly less satisfied with the penile cosmetic outcome regarding all parameters in the Penile Perception Score (PPS). There was a difference in penile length between the two groups, 9.7 cm and 11.6 cm, respectively (p < 0.001). More patients than controls reported voiding dysfunction symptoms (p = 0.003). Patients had a lower maximum urinary flow rate (ml/sec) (p=0.001) than controls. These differences were most prominent between patients with proximal hypospadias and controls. CONCLUSIONS: Men operated on for hypospadias were less satisfied with the cosmetic result than controls. Their penile length was shorter. They presented with more symptoms of voiding dysfunction and displayed a lower maximum urinary flow rate. Patients with proximal hypospadias were more affected than those with milder hypospadias. Our results indicate that hypospadias could be sub grouped and that the severe phenotypes should be followed more during childhood as well as later in adulthood."
148,"To Be or Want to Be: Disentangling the Role of Actual versus Ideal Self in Implicit Self-Esteem."
149,"A growing body of work suggests that both depressed and non-depressed individuals display implicit positivity towards the self. In the current study, we examined whether this positivity can be underpinned by two qualitatively distinct propositions related to actual ('I am good') or ideal ('I want to be good') self-esteem. Dysphoric and non-dysphoric participants completed a self-esteem Implicit Association Test (IAT) as well an Implicit Relational Assessment Procedure (IRAP) targeting their actual self-esteem and an IRAP targeting ideal self-esteem. Both groups demonstrated similar and positive IAT effects. A more complex picture emerged with regard to the IRAP effects. Whereas non-dysphorics did not differ in their actual and ideal self-esteem, their dysphoric counterparts demonstrated lower actual than ideal self-esteem. Our results suggest that closer attention to the role of propositional processes in implicit measures may unlock novel insight into the relationship between implicit self-esteem and depression."
150,"Mitochondrial disturbances in HIV pregnancies."
151,"BACKGROUND:: Mitochondrial consequences from foetal exposure to HIV infection and antiretrovirals could be further investigated. OBJECTIVE:: The main objective of this study was to evaluate maternofoetal mitochondrial disturbances in HIV infection and antiretroviral administration in human pregnancies as the aetiopathogenic basis of suboptimal perinatal-clinical features. DESIGN:: Cross-sectional, prospective, observational, exploratory and controlled study. METHODS:: Clinical/epidemiological data of 35 HIV-infected pregnant women and 17 controls were collected. Mitochondrial DNA (mtDNA) and RNA (mtRNA) content (RT-PCR), enzymatic activities and content (spectrophotometry) were measured in leucocytes. Genetic-functional, maternofoetal and molecular-clinical correlations were assessed. RESULTS:: Birth weight was lower in infants from HIV-infected mothers compared with controls. MtDNA values were slightly decreased in HIV cases, although not reaching statistical significance. MtRNA values were lower in HIV-infected mothers. Similarly, binary complex II+III enzymatic activity decreased to 50% in both HIV-infected mothers (44.45 +/- 3.77%) and their infants (48.79 +/- 3.41%) (P = 0.001 and P < 0.001). Global CI+III+IV enzymatic activity was lower in HIV-infected mothers and infants (90.43 +/- 2.39% and 51.16 +/- 9.30%) (P < 0.005 and P < 0.05). MtDNA content correlated with function in mothers and infants. Maternofoetal parameters correlated at genetic and functional levels. CONCLUSION:: HAART toxicity caused mitochondrial damage in HIV-infected pregnant women and their newborns, being present at a genetic and functional level with a maternofoetal correlation."
152,"Persistent HIV-related stigma in rural Uganda during a period of increasing HIV incidence despite treatment expansion."
153,"OBJECTIVE:: Programme implementers have argued that the increasing availability of antiretroviral therapy (ART) will reduce the stigma of HIV. We analyzed data from Uganda to assess how HIV-related stigma has changed during a period of ART expansion. DESIGN:: Serial cross-sectional surveys. METHODS:: We analyzed data from the Uganda AIDS Rural Treatment Outcomes study during 2007-2012 to estimate trends in internalized stigma among people living with HIV (PLHIV) at the time of treatment initiation. We analyzed data from the Uganda Demographic and Health Surveys from 2006 to 2011 to estimate trends in stigmatizing attitudes and anticipated stigma in the general population. We fitted regression models adjusted for sociodemographic characteristics, with year of data collection as the primary explanatory variable. RESULTS:: We estimated an upward trend in internalized stigma among PLHIV presenting for treatment initiation [adjusted b = 0.18; 95% confidence interval (CI), 0.06-0.30]. In the general population, the odds of reporting anticipated stigma were greater in 2011 compared with 2006 [adjusted odds ratio (OR) = 1.80; 95% CI, 1.51-2.13], despite an apparent decline in stigmatizing attitudes (adjusted OR = 0.62; 95% CI, 0.52-0.74). CONCLUSION:: Internalized stigma has increased over time among PLHIV in the setting of worsening anticipated stigma in the general population. Further study is needed to better understand the reasons for increasing HIV-related stigma in Uganda and its impact on HIV prevention efforts."
154,"Detection of Colorectal Cancer (CRC) by Urinary Volatile Organic Compound Analysis."
155,"Colorectal cancer (CRC) is a leading cause of cancer related death in Europe and the USA. There is no universally accepted effective non-invasive screening test for CRC. Guaiac based faecal occult blood (gFOB) testing has largely been superseded by Faecal Immunochemical testing (FIT), but sensitivity still remains poor. The uptake of population based FOBt testing in the UK is also low at around 50%. The detection of volatile organic compounds (VOCs) signature(s) for many cancer subtypes is receiving increasing interest using a variety of gas phase analytical instruments. One such example is FAIMS (Field Asymmetric Ion Mobility Spectrometer). FAIMS is able to identify Inflammatory Bowel disease (IBD) patients by analysing shifts in VOCs patterns in both urine and faeces. This study extends this concept to determine whether CRC patients can be identified through non-invasive analysis of urine, using FAIMS. 133 patients were recruited; 83 CRC patients and 50 healthy controls. Urine was collected at the time of CRC diagnosis and headspace analysis undertaken using a FAIMS instrument (Owlstone, Lonestar, UK). Data was processed using Fisher Discriminant Analysis (FDA) after feature extraction from the raw data. FAIMS analyses demonstrated that the VOC profiles of CRC patients were tightly clustered and could be distinguished from healthy controls. Sensitivity and specificity for CRC detection with FAIMS were 88% and 60% respectively. This study suggests that VOC signatures emanating from urine can be detected in patients with CRC using ion mobility spectroscopy technology (FAIMS) with potential as a novel screening tool."
156,"Soyasaponins Prevent HO-Induced Inhibition of Gap Junctional Intercellular Communication by Scavenging Reactive Oxygen Species in Rat Liver Cells."
157,"It appears to be more practical and effective to prevent carcinogenesis by targeting the tumor promotion stage. Gap junctional intercellular communication (GJIC) is strongly involved in carcinogenesis, especially the tumor promotion stage. Considerable interest has been focused on the chemoprevention activities of soyasaponin (SS), which are major phytochemicals found in soybeans and soy products. However, less is known about the preventive effects of SS (especially SS with different chemical structures) against tumor promoter-induced inhibition of GJIC. We investigated the protective effects of SS-A1, SS-A2, and SS-I against hydrogen peroxide (H2O2)-induced GJIC inhibition and reactive oxygen species (ROS) production in Buffalo rat liver (BRL) cells. The present results clearly show for the first time that SS-A1, SS-A2, and SS-I prevent the H2O2-induced GJIC inhibition by scavenging ROS in BRL cells in a dose-dependent manner at the concentration range of from 25 to 100 mug/mL. Soyasaponins attenuated the H2O2-induced ROS through potentiating the activities of superoxide dismutase and glutathione peroxidase. This may be an important mechanism by which SS protects against tumor promotion. In addition, various chemical structures of SS appear to exhibit different protective abilities against GJIC inhibition. This may partly attribute to their differences in ROS-scavenging activities."
158,"Short-term Curcuminoid Supplementation for Chronic Pulmonary Complications due to Sulfur Mustard Intoxication: Positive Results of a Randomized Double-blind Placebo-controlled Trial."
159,"Pulmonary problems are among the most frequent chronic complications of sulfur mustard (SM) intoxication and are often accompanied by deregulated production of pro-inflammatory cytokines. Curcuminoids, comprising curcumin, demethoxycurcumin and bisdemethoxycurcumin, are phytochemicals with remarkable anti-inflammatory properties that are derived from dried rhizomes of the plant Curcuma longa L. (turmeric). The present pilot study aimed to investigate the clinical effects of supplementation with curcuminoids on markers of pulmonary function and systemic inflammation in SM-intoxicated subjects. In a randomized double-blind placebo-controlled trial, 89 male subjects who were suffering from chronic SM-induced pulmonary complications were recruited and assigned to either curcuminoids (500 mg TID per oral; n=45) or placebo (n=44) for a period of 4 weeks. Efficacy measures were changes in the spirometric parameters (FVC, FEV1, FEV1/FVC) and serum levels of inflammatory mediators including interleukins 6 (IL-6) and 8 (IL-8), tumor necrosis factor-alpha (TNFalpha), transforming growth factor-beta (TGFbeta), high-sensitivity C-reactive protein (hs-CRP), calcitonin gene related peptide (CGRP), substance P and monocyte chemotactic protein-1 (MCP-1). 78 subjects completed the trial. Although FEV1 and FVC remained comparable between the groups, there was a greater effect of curcuminoids vs. placebo in improving FEV1/FVC (p=0.002). Curcuminoids were also significantly more efficacious compared to placebo in modulating all assessed inflammatory mediators: IL-6 (p<0.001), IL-8 (p=0.035), TNFalpha (p<0.001), TGFbeta (p<0.001), substance P (p=0.016), hs-CRP (p<0.001), CGRP (p<0.001) and MCP-1 (p<0.001). Curcuminoids were safe and well-tolerated throughout the trial. Short-term adjunctive therapy with curcuminoids can suppress systemic inflammation in patients suffering from SM-induced chronic pulmonary complications."
160,"Respiratory Syncytial Virus: Pathology, therapeutic drugs and prophylaxis."
161,"Human Respiratory Syncytial Virus (hRSV) is the leading cause of lower respiratory tract diseases, affecting particularly newborns and young children. This virus is able to modulate the immune response, generating a pro-inflammatory environment in the airways that causes obstruction and pulmonary alterations in the infected host. To date, no vaccines are available for human use and the first vaccine that reached clinical trials produced an enhanced hRSV-associated pathology 50 years ago, resulting in the death of two children. Currently, only two therapeutic approaches have been used to treat hRSV infection in high risk children: 1. Palivizumab, a humanized antibody against the F protein that reduces to half the number of hospitalized cases and 2. Ribavirin, which fails to have a significant therapeutic effect. A major caveat for these approaches is their high economical cost, which highlights the need of new and affordable therapeutic or prophylactic tools to treat or prevents hRSV infection. Accordingly, several efforts are in progress to understand the hRSV-associated pathology and to characterize the immune response elicited by this virus. Currently, preclinical and clinical trials are being conducted to evaluate safety and efficacy of several drugs and vaccines, which have shown promising results. In this article, we discuss the most important advances in the development of drugs and vaccines, which could eventually lead to better strategies to treat or prevent the detrimental inflammation triggered by hRSV infection."
162,"Regional fibrocartilage variations in human anterior cruciate ligament tibial insertion: a histological three-dimensional reconstruction."
163,"Abstract Purpose: We studied anterior cruciate ligament (ACL) tibial insertion architecture in humans and investigated regional differences that could suggest unequal force transmission from ligament to bone. Materials and Methods: ACL tibial insertions were processed histologically. With Photoshop software, digital images taken from the histological slides were collaged, contour lines were drawn, and different gray values were filled based on the structure. The data were exported to Amira software for three-dimensional reconstruction. Results: The uncalcified fibrocartilage (UF) layer was divided into 3 regions: lateral, medial and posterior according to the architecture. The UF zone was significantly thicker laterally than medially or posteriorly (P < 0.05). Similarly, the calcified fibrocartilage (CF) thickness was significantly greater in the lateral part of the enthesis compared to the medial and posterior parts (P < 0.05). Conclusions: The UF quantity (more UF laterally) corresponding to the CF quantity (more CF laterally) at the ACL tibial insertion provides further evidence suggesting that the load transferred from the ACL to the tibia was greater laterally than medially and posteriorly."
164,"Multiprofessional teamwork in work-related medical rehabilitation for patients with chronic musculoskeletal disorders."
165,"Objective: Systematic reviews indicate the effectiveness of multimodal rehabilitation. In Germany this has been shown, in particular, for work-related medical rehabilitation. A recently published guideline on work-related medical rehabilitation support the dissemination of these programmes. The feasibility of this guideline was examined in a multicentre study. This paper presents findings on the relevance of multiprofessional teamwork for the implementation of successful work-related medical rehabilitation. Methods: Focus groups were conducted with 7 inpatient orthopaedic rehabilitation teams and examined using qualitative content analysis. Results: Multiprofessional teamwork emerged inductively as a meaningful theme. All teams described multiprofessional teamwork as a work-related medical rehabilitation success factor, referring to its relevance for holistic treatment of multifactorially impaired patients. Although similar indicators of successful multiprofessional teamwork were named, the teams realized multiprofessional teamwork differently. We found 3 team types, corresponding to multidisciplinary, interdisciplinary and transdisciplinary team models. These types and models constitute a continuum of collaborative practice, which seems to be affected by context-related factors. Conclusion: The significance of multiprofessional teamwork for successful multimodal rehabilitation was underlined. Indicators of ideal multiprofessional teamwork and contextual facilitators were specified. The contingency approach to teamwork, as well as the assumption of multiprofessional teamwork as a continuum of collaborative practice, is supported. Stronger consideration of multiprofessional teamwork in the work-related medical rehabilitation guideline is indicated."
166,"High Uptake of Systematic HIV Counseling and Testing and TB Symptom Screening at a Primary Care Clinic in South Africa."
167,"BACKGROUND: Timely diagnosis and treatment of tuberculosis (TB) and HIV is important to reduce morbidity and mortality, and break the cycle of ongoing transmission. METHODS: We performed an implementation research study to develop a model for systematic TB symptom screening and HIV counseling and testing (HCT) for all adult clients at a primary care clinic and prospectively evaluate the 6-month coverage and yield, and 18-month sustainability at a primary care clinic in Johannesburg, South Africa. RESULTS: During the first 6 months, 26,515 visits occurred among 12,078 adults. The proportion of adults aware of their HIV status was 43.7% at the start of the first visit, increased to 84.6% at the end of the first visit, and to 90% at end of any visit during the first 6 months. During these 6 months, 1042 clients were newly diagnosed with HIV. HIV prevalence was 22.9% among those newly tested, and 58.9% among all adult clinic clients. High coverage of systematic HCT was sustained across all 18 months. Coverage of systematic HIV-stratified TB symptom screening during first 6-months was also high (89.6%) but only 35.0% of those symptomatic were screened by sputum. During these 6-months, 90 clients had a positive Xpert MTB/RIF assay, corresponding to a TB prevalence of 0.4% among all 23,534 clients TB symptom-screened and 2.8% among the 3,284 clients with a positive TB symptom screen. The initial high coverage of TB symptom screening was not sustained, with coverage of TB symptom screening dropping after the first six months to 70% and assessment by sputum dropping to 15%. CONCLUSION: Routine, systematic HCT and HIV-stratified TB symptom screening is feasible at primary care level. Systematic HCT doubled the proportion of clients with known HIV status. While HCT was sustainable, coverage of systematic TB screening dropped significantly after the first 6 months of implementation."
168,"Surface-assisted laser desorption/ionization mass spectrometry using ordered silicon nanopillar arrays."
169,"Surface-assisted laser desorption/ionization mass spectrometry (SALDI-MS) is ideally suited for the high-throughput analysis of small molecules in bodily fluids (e.g. saliva, urine, and blood plasma). A key application for this technique is the testing of drug consumption in the context of workplace, roadside, athlete sports and anti-addictive drug compliance. Here, we show that vertically-aligned ordered silicon nanopillar (SiNP) arrays fabricated using nanosphere lithography followed by metal-assisted chemical etching (MACE) are suitable substrates for the SALDI-MS detection of methadone and small peptides. Porosity, length and diameter are fabrication parameters that we have explored here in order to optimize analytical performance. We demonstrate the quantitative analysis of methadone in MilliQ water down to 32 ng mL-1. Finally, the capability of SiNP arrays to facilitate the detection of methadone in clinical samples is also demonstrated."
170,"Lung tissue engineering and preservation of alveolar microstructure using a novel casting method."
171,"We used a rat model to decellularize and seed alveolar cells on a three-dimensional lung scaffold to preserve alveolar microarchitecture. We verified the preservation of terminal respiratory structure by casting and by scanning electron microscopy (SEM) of the casts after decellularization. Whole lungs were obtained from 12 healthy Sprague-Dawley rats, cannulated through the trachea under sterile conditions, and decellularized using a detergent-based method. Casting of both natural and decellularized lungs was performed to verify preservation of the inner microstructure of scaffolds for further cell seeding. Alveolar cell seeding was performed using green fluorescent protein (GFP) lung cells and non-GFP lung cells, and a peristaltic pump. We assessed cell seeding using histological and immunohistochemical staining, and enzymatic evaluation. All cellular components were removed completely from the scaffolds, and histological staining and SEM of casts were used to verify the preservation of tissue structure. Tensile tests verified conservation of biomechanical properties. The hydroxyproline content of decellularized lungs was similar to native lung. Histological and immunohistochemical evaluations showed effective cell seeding on decellularized matrices. Enzymatic measurement of trypsin and alpha 1 antitrypsin suggested the potential functional properties of the regenerated lungs. Casts produced by our method have satisfactory geometrical properties for further cell seeding of lung scaffolds. Preservation of micro-architecture and terminal alveoli that was confirmed by SEM of lung casts increases the probability of an effective cell seeding process."
172,"Baicalein inhibits agonist- and tumor cell-induced platelet aggregation while suppressing pulmonary tumor metastasis via cAMP-mediated VASP phosphorylation along with impaired MAPKs and PI3K-Akt activation."
173,"Recently, the importance of platelet activation in cancer metastasis has become generally accepted. As a results, the development of new platelet inhibitors with minimal adverse effects is now a promising area of targeted cancer therapy. Baicalein is a functional ingredient derived from the root of Scutellaria baicalensis Georgi, a plant used intraditional medicine. The pharmacological effects of this compound including anti-oxidative and anti-inflammatory activities have already been demonstrated. However, its effects on platelet activation are unknown. We therefore investigated the effects of baicalein on ligand-induced platelet aggregation and pulmonary cancer metastasis. In the present study, baicalein inhibited agonist-induced platelet aggregation, granule secretion markers (P-selectin expression and ATP release), [Ca2+]i mobilization, and integrin alphaIIbbeta3 expression. Additionally, baicalein attenuated ERK2, p38, and Akt activation, and enhanced VASP phosphorylation. Indeed, baicalein was shown to directly inhibit PI3K kinase activity. Moreover, baicalein attenuated the platelet aggregation induced by C6 rat glioma tumor cells in vitro and suppressed CT26 colon cancer metastasis in mice. These features indicate that baicalein is a potential therapeutic drug for the prevention of cancer metastasis."
174,"Effects of Perioperative Supplementation with Omega-3 Fatty Acids on Leukotriene B4 and Leukotriene B5 Production by Stimulated Neutrophils in Patients with Colorectal Cancer: A Randomized, Placebo-Controlled Intervention Trial."
175,"Omega-3 fatty acids (n-3 FA) may have beneficial clinical and immune-modulating effects in surgical patients. In a randomized, double-blind, prospective, placebo-controlled trial, 148 patients referred for elective colorectal cancer surgery received an n-3 FA-enriched oral nutritional supplement (ONS) providing 2.0 g of eicosapentaenoic acid (EPA) and 1.0 g of docosahexaenoic acid (DHA) per day or a standard ONS for seven days before surgery. On the day of operation, there was a significant increase in the production of leukotriene B5 (LTB5) (p < 0.01) and 5-hydroxyeicosapentaenoic acid (5-HEPE) (p < 0.01), a significant decrease in the production of leukotriene B4 (LTB4) (p < 0.01) and a trend for a decrease in the production of 5-hydroxyeicosatetraenoic acid (5-HETE) (p < 0.1) from stimulated neutrophils in the active group compared with controls. There was no association between LTB4 values and postoperative complications. In conclusion, oral n-3 FA exerts anti-inflammatory effects in surgical patients, without reducing the risk of postoperative complications."
176,"Green Tea Consumption Affects Cognitive Dysfunction in the Elderly: A Pilot Study."
177,"Green tea is known to have various health benefits for humans. However, the effect of green tea consumption on cognitive dysfunction remains to be clinically verified. We conducted a clinical study to investigate the effects of green tea consumption on cognitive dysfunction. Twelve elderly nursing home residents with cognitive dysfunction (Mini-Mental State Examination Japanese version (MMSE-J) score: <28) participated in the study (2 men, 10 women; mean age, 88 years). The participants consumed green tea powder 2 g/day for 3 months. After three months of green tea consumption, the participants' MMSE-J scores were significantly improved (before, 15.3 +/- 7.7; after, 17.0 +/- 8.2; p = 0.03). This result suggests that green tea consumption may be effective in improving cognitive function or reducing the progression of cognitive dysfunction; however, long-term large-scale controlled studies are needed to further clarify the effect."
178,"Utility of cystatin C-derived equations for evaluation of residual renal function in peritoneal dialysis patients."
179,"Abstract Background: Residual renal function (RRF) plays a key role in the follow-up of the patients undergoing chronic ambulatory peritoneal dialysis (CAPD). Available methods for measurement of RRF are cumbersome and rarely used, and alternatively, cystatin C-derived equations have been proposed. Methods: Seventy-six adult CAPD patients were recruited. RRF was measured using the 24-hour urea-creatinine clearance method. Serum concentrations of cystatin C were determined. Glomerular filtration rate (GFR) was estimated using the two published equations of Hoek and colleagues, and Yang and colleagues. GFR was also estimated from serum creatinine using the Chronic Kidney Disease Epidemiology Collaboration (CKD-EPI) formula. Results: Patients (age range 18-86 years) were on CAPD for a median of 24 months. Average serum concentrations of cystatin C was 5 +/- 1.2 mg/L. Average RRF was 0.7 +/- 1.6 mL/min/1.73 m2. All three methods significantly overestimated the measured RRF values (Hoek: 4 +/- 1.4; Yang: 4.5 +/- 1.5; 7.4 +/- 4 mL/min/1.73 m2). Based on Bland-Altman plots, all three methods yielded poor agreement with RRF (p < 0.001 for all tests), with Hoek's equation providing the narrowest limits of agreement [mean difference (limits of agreement): 3.4 (2.9-3.9)] and CKD-EPI the widest [6.7 (5.9-7.5)]. Although the Hoek's method outperformed CKD-EPI, the within 30 and 50% accuracy rates were unsatisfactory (10.5 and19.7 %, respectively). Conclusions: Cystatin C-derived equations outperform the CKD-EPI formula in approximating the RRF values. Yet, these methods still significantly overestimate the measured RRF and their routine application in clinical practice is not advised."
180,"The Effect and Mechanism of Growth Hormone Replacement on Cognitive Function in Rats with Traumatic Brain Injury."
