許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,醫療器材級數,通關簽審文件編號,中文品名,英文品名,醫器主類別一,醫器次類別一,限制項目,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠國別,異動日期,效能,製程,製造廠公司地址,劑型,包裝
衛署醫器輸字第004256號,已註銷,1996-11-29,註銷藥商許可執照,1991-05-16,1986-05-16,醫　器,,DHA00600425602,心肺功能測驗系統,"""SENSOR MEDICS"" PULMONARY FUNCTION TESTING SYSTEM","0211 肺功能測定器",,"輸　入 ",百泰實業有限公司,台北巿復興北路３４４路９樓,,"SENSOR MEDICS CORPORATION","1630 SOUTH STATE COLLEGE BOULEVARD ANAHEIM,CA 92806,U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第010437號,,,,2018-10-21,2003-10-21,醫　器,,DHA00601043705,"""信迪思”頸椎固定植入物","”SYNTHES” CERVIFIX IMPLANTS","N 骨科用裝置",,"輸　入 ",壯生醫療器材股份有限公司,台北市大安區敦化南路二段319號6樓,16439055,"SYNTHES GMBH","EIMATTSTRASSE 3, CH-4436 OBERDORF, SWITZERLAND",SWITZERLAND,2014-06-11,,,,,
衛署醫器輸字第010550號,,,,2014-02-18,2004-02-18,醫　器,,DHA00601055001,"""吉斯"" 通氣管","""GYRUS"" VENTILATION TUBE","G 耳鼻喉科用裝置",,"輸　入 ",翔源貿易有限公司,台北市中山區中山北路二段27巷3-3號3樓,70469560,"GYRUS ENT, LLC SUBSIDIARY OF GYRUS ACMI, INC.","2925 APPLING ROAD, BARTLETT, TN 38133, U.S.A.","UNITED STATES",2013-08-05,,,,,
衛署醫器輸字第010570號,,,,2019-03-08,2004-03-08,醫　器,,DHA00601057007,"""愛德華"" 三尖瓣膜修補環","""EDWARDS"" MC3 TRICUSPID ANNULOPLASTY RING","E 心臟血管用裝置",,"輸　入 ",台灣愛德華生命科學股份有限公司,台北市松山區敦化北路170號7樓,28472780,"EDWARDS LIFESCIENCES LLC","ONE EDWARDS WAY,IRVINE,CA 92614,USA","UNITED STATES",2014-11-06,,,,,
衛署醫器輸字第004257號,已註銷,2004-11-17,未展延而逾期者,1991-05-16,1986-05-16,醫　器,,DHA00600425704,醫用氣體分析儀,"""PERKIN-ELMER"" MEDICAL GAS ANALYZER","0213 氣體分析儀",,"輸　入 ",新毅貿易股份有限公司,台北巿羅斯福路三段２７７號７樓Ｂ,,"PERKIN-ELMER. CORPORATION APPLIED SCIENCES DIVISION.","2771 NORTH GAREY AVENUE POMONA, CALIFORNIA 91769","UNITED STATES",2004-11-23,,,,,
衛署醫器輸字第010632號,已註銷,2012-11-19,許可證已逾有效期,2009-04-26,2004-04-26,醫　器,,DHA00601063203,"""安特"" 巴哈系統","""ENTIFIC"" BAHA SYSTEM","G 耳鼻喉科用裝置",,"輸　入 ",楷韻貿易有限公司,台北市中山區中山北路二段27巷3之3號3樓,70470638,"ENTIFIC MEDICAL SYSTEMS AB","P.O. BOX 16024, SE-412 21 GOTEBORG, SWEDEN",SWEDEN,2012-11-19,,,,,
衛署醫器輸字第004258號,已註銷,1999-10-07,未展延而逾期者;;改列無須辦理查驗之醫療器材,1991-05-17,1986-05-16,醫　器,,DHA00600425806,心電計,"""NEC SAN-EI"" ELECTROCARDIOGRAPH","0801 心電計",,"輸　入 ",西河國際股份有限公司,台北巿博愛路１２號１樓,04270770,"NEC SAN-EI INSTRUMENTS LTD.","12-1 AKUHO 1-CHOME SHINJUKU-KU TOKYO 160, JAPAN.",JAPAN,2001-12-30,,,,,
衛署醫器輸字第004280號,已註銷,1998-01-16,公司歇業,1993-06-06,1986-06-06,醫　器,,DHA00600428002,貴夫人衛生套,"""YAMASIDA"" RUBBER PROPHYLACTICS FAIR LADY","2701 衛生套",,"輸　入 ",興睦貿易股份有限公司,台北巿重慶北路四段２２０巷３７號,30441784,"YAMASIDA LATEX INDUSTRY CO., LTD.","NO. 27-21-4, KENZN MIYASAKIMURA TANSEIGUN FUKUIKEN JAPAN.",JAPAN,2001-12-30,,,,,
衛署醫器輸字第010737號,,,,2019-07-01,2004-07-01,醫　器,,DHA00601073704,"""巴德"" 葛萊德血液透析導管","""BARD"" HEMOGLIDE HEMODIALYSIS CATHETER","H 胃腸病學-泌尿學科用裝置",,"輸　入 ",巴德股份有限公司,台北市中山區南京東路三段26號10樓,16092413,"BARD ACCESS SYSTEMS, INC.","605 NORTH 5600 WEST, SALT LAKE CITY, UTAH 84116, USA","UNITED STATES",2014-03-18,,,,,
衛署醫器輸字第004292號,已註銷,1994-03-04,移轉（申請商）,1998-06-13,1986-06-13,醫　器,,DHA00600429206,骨髓移植用穿刺針,"""UNIVERSITY OF WASHINGTON"" BONE MARROW TRANSPLANT NEEDLES.","1499 其他",,"輸　入 ",禾新貿易有限公司,台北巿迪化街一段１１９號,96887646,"UNIVERSITY OF WASHINGTON, SCIENTIFIC INSTRUMENT DIVISION","T283 HEALTH SCIENCE BLDG. SB-73 SEATTLE, WA 98195","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第004293號,已註銷,2004-11-17,未展延而逾期者,1998-06-13,1986-06-13,醫　器,,DHA00600429308,圓形鍼灸針,"""SEIRIN"" PYONEX NEEDLE","2399 其他",,"輸　入 ",福泰貿易有限公司,台北巿博愛路２５號７樓之９,03530806,"SEIRIN CO., LTD.","790-2 CIRESIDZO SIMIDZISI SITSUOKA-KEN, JAPAN.",JAPAN,2004-11-23,,,,,
衛署醫器輸字第004308號,已註銷,1988-08-03,中文品名變更;;製造廠名稱變更,1991-07-03,1986-07-03,醫　器,,DHA00600430808,腦脊髓液引流腹膜導管,"""V. MUELLER"" CSF-PERITONEAL CATHETERS","0399 其他",,"輸　入 ",青線有限公司,台北巿新生南路１段９７巷１９號２樓,,"AMERICAN V. MUELLER DEL CARIBE","ROAD 402 N., KM. 1.2 ANASCO, PUERTO RICO 00610","PUERTO RICO",2001-12-30,,,,,
衛署醫器輸字第002055號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600205508,放射性同位素診斷裝置,"""CGR"" RADIATION ISOTOPE DIAGNOSTIC EQUIPMENT","2501 放射性同位素診斷設備",,"輸　入 ",洽泰企業有限公司,台北巿敦化南路１段３３７號９Ｆ,03303909,"COMPAGNIE GENERALE DE RADIOLOGIE","13 SQUARE MAX HYMANS 74751 PARIS CEDEX 15, FRANCE",FRANCE,2001-12-30,,,,,
衛署醫器輸字第002056號,已註銷,1988-07-29,自請註銷,1987-06-09,1982-06-09,醫　器,,DHA00600205600,硬膜穿刺針套,"""PHARMASEAL"" CAUDAL EPIDURAL ANESTHESIA TRAYS","1407 硬膜穿刺套針",,"輸　入 ",明惠貿易有限公司,台北巿中山北路二段２６巷１０號,11322197,"AMERICAN PHARMASEAL INTERNATIONAL DEPARTMENT","P.O.BOX 1300, GLENDALE CA91209 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002057號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600205702,內植血管縫合夾,"""AXIOM""-AUTOSTAT CLIP","1502 縫合夾",,"輸　入 ",明惠貿易有限公司,台北巿中山北路二段２６巷１０號,11322197,"AXIOM MEDICAL INC.","7625 ROSECRANS AVENUE, SUITE 33,(29) PARAMOUNT, CA 90723 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002058號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600205801,人工腰部腹膜分路管,"""HEYER-SCHULTE"" LUMBAR PERITONEAL SHUNT SYSTE","0311 其他人工導管（分流管",,"輸　入 ",臺灣東機貿有限公司,台北巿信義路四段２４８號３Ｆ,,"AMERICAN HEYER SCHULTE CORPORTION","600 PINE AVENUE, GOLETA, CA93117 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002059號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600205903,活動心電圖分析器,"""AVIONICS"" ECG VIDEO ANALYSIS SYSTEM","0804 心電圖分析儀",,"輸　入 ",臺灣東機貿有限公司,台北巿信義路四段２４８號３Ｆ,,"DEL MAR AVIONICS DYNAMIC INSTRUMENTATION","1601 ALTON AVENUE IRVINE CA 92714 USA.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002060號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600206001,心電圖錄放器,"""AVIONICS"" ELECTRO CARDIO SCANNER","0803 心電圖紀錄器",,"輸　入 ",臺灣東機貿有限公司,台北巿信義路四段２４８號３Ｆ,,"DEL MAR AVIONICS DYNAMIC INSTRUMENTATION","1601 ALTON AVENUE IRVINE CA 92714 USA.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002061號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600206103,血壓監視器,"""AVIONICS"" BLOOD PRESSUROMETER","0505 血壓監視器",,"輸　入 ",臺灣東機貿有限公司,台北巿信義路四段２４８號３Ｆ,,"DEL MAR AVIONICS DYNAMIC INSTRUMENTATION","1601 ALTON AVENUE IRVINE CA 92714 USA.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002062號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600206205,二氧化碳雷射器,"""COOPER"" CO2 SURGICAL LASER","2103 二氧化碳雷射儀",,"輸　入 ",福泰貿易有限公司,台北巿博愛路２５號７樓之９,03530806,"COOPER LASERSONICS, INC.","88 HAMILTON AVENUE STAMFORD CONNECTICUT 06904","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002063號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600206307,排尿輸出量監視器,"""TERUMO"" URINE OUTPUT MONITOR","1210 泌尿系統分析裝置",,"輸　入 ",西河國際股份有限公司,台北巿博愛路１２號１樓,04270770,"TERUMO CORPORATION","44-1, 2-CHOME,HATAGAYE SHIBUYA-KU TOKYO, JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第002064號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600206409,心臟壓縮及脈膊監視器,"""TERUMO"" SYSTOLIC PRESSURE/PULSE MONITOR","1214 壓力診斷裝置",,"輸　入 ",西河國際股份有限公司,台北巿博愛路１２號１樓,04270770,"TERUMO CORPORATION","44-1, 2-CHOME,HATAGAYE SHIBUYA-KU TOKYO, JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第002065號,已註銷,1998-01-16,中文品名變更;;移轉（申請商）,1998-06-09,1982-06-09,醫　器,,DHA00600206501,血液微凝過濾裝置,"""TERUMO"" AGGREGARD BLOOD MICROAGGREGATE FILTER","1310 輸血過濾器",,"輸　入 ",西河國際股份有限公司,台北巿博愛路１２號１樓,04270770,"TERUMO CORPORATION","44-1, 2-CHOME,HATAGAYE SHIBUYA-KU TOKYO, JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第002066號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600206600,尿液比重監視器,"""TERUMO"" URINE SPECIFIC GRAVITY MONITOR.","1210 泌尿系統分析裝置",,"輸　入 ",西河國際股份有限公司,台北巿博愛路１２號１樓,04270770,"TERUMO CORPORATION","44-1, 2-CHOME,HATAGAYE SHIBUYA-KU TOKYO, JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第004320號,已註銷,1999-10-07,未展延而逾期者;;改列無須辦理查驗之醫療器材,1991-07-09,1986-07-09,醫　器,,DHA00600432001,氣管內管,"""BAUER"" TRACHEA TUBE","0204 氣管內管",,"輸　入 ",三共貿易有限公司,台北巿博愛路２８號１樓,11024606,"BAUER & HASELBARTH GMBH","2000 HAMBURG 20, HOHELUFTCHAUSSEE, 139. W-GERMANY",GERMANY,2001-12-30,,,,,
衛署醫器輸字第002067號,已註銷,1999-10-07,未展延而逾期者;;改列無須辦理查驗之醫療器材,1998-06-09,1982-06-09,醫　器,,DHA00600206702,呼吸用濕熱交換器,"""TERUMO"" BRETHAID","0299 其他",,"輸　入 ",西河國際股份有限公司,台北巿博愛路１２號１樓,04270770,"TERUMO CORPORATION","44-1, 2-CHOME,HATAGAYE SHIBUYA-KU TOKYO, JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第004321號,已註銷,2004-11-17,未展延而逾期者,1998-07-09,1986-07-09,醫　器,,DHA00600432100,人工骨板,"""B.G.""BONE PLATE","0303 人工骨板",,"輸　入 ",傑奎股份有限公司,台北巿八德路二段１６７巷２１號２樓,12415829,"S.A. BENOIST GIRARD ET CIE.","14200 HEROUVILLE SAINT CLAIR",FRANCE,2004-11-23,,,,,
衛署醫器輸字第010738號,,,,2019-07-02,2004-07-02,醫　器,,DHA00601073806,"""曲克"" 拋棄式經皮穿刺針","""COOK"" DISPOSABLE PERCUTANEOUS ENTRY NEEDLES","E 心臟血管用裝置",,"輸　入 ",台灣曲克股份有限公司,新北市新店區北新路三段207號11樓及207-1號11樓,23162792,"COOK INCORPORATED","750 DANIELS WAY, BLOOMINGTON, IN 47404, U.S.A.","UNITED STATES",2014-03-11,,,,,
衛署醫器輸字第002068號,已註銷,1999-10-07,未展延而逾期者;;改列無須辦理查驗之醫療器材,1998-06-09,1982-06-09,醫　器,,DHA00600206804,輸液濾過器,"""TERUMO"" TERUFUSION FINAL FILTER SET","1310 輸血過濾器",,"輸　入 ",西河國際股份有限公司,台北巿博愛路１２號１樓,04270770,"TERUMO CORPORATION","44-1, 2-CHOME,HATAGAYE SHIBUYA-KU TOKYO, JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第002069號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600206906,顆粒球分離器,"""TERUMO"" LEUKALUM SET","1399 其他",,"輸　入 ",西河國際股份有限公司,台北巿博愛路１２號１樓,04270770,"TERUMO CORPORATION","44-1, 2-CHOME,HATAGAYE SHIBUYA-KU TOKYO, JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第002070號,已註銷,1998-02-17,移轉（申請商）,1998-06-09,1982-06-09,醫　器,,DHA00600207004,白血球過濾器,"""TERUMO"" IMUGARD","1399 其他",,"輸　入 ",西河國際股份有限公司,台北巿博愛路１２號１樓,04270770,"TERUMO CORPORATION","44-1, 2-CHOME,HATAGAYE SHIBUYA-KU TOKYO, JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第002071號,已註銷,1988-03-05,有效期間已屆未能補件,1987-06-09,1982-06-09,醫　器,,DHA00600207106,重症病患監護器,"""KONE"" PATIENT DATA MONITOR","0601 重症室及心臟加強監護",,"輸　入 ",西河國際股份有限公司,台北巿博愛路１２號１樓,04270770,"KONE OY INSTRUMENT DIVISION","RUU KINTIE. 18. SF-02320 ESPOO32. FINLAND",FINLAND,2001-12-30,,,,,
衛署醫器輸字第002072號,已註銷,1989-08-07,逾期展延,1989-06-09,1982-06-09,醫　器,,DHA00600207208,速縫皮膚縫合器,"""DAVIS & GECK"" APPOSE SKIN STAPLER","1503 縫合器或縫合釘",,"輸　入 ",寶敦企業股份有限公司,台北巿建國北路一段９６號１３樓,12026997,"AMERICAN CYANAMID COMPANY","DANBURY. CONNECTICUT 06810 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002226號,已註銷,1990-02-26,有效期限已屆,1987-08-25,1982-08-25,醫　器,,DHA00600222609,直腸鏡,"""SHINKO"" SIGMOIDOSCOPE","0902 直腸鏡",,"輸　入 ",南榮貿易股份有限公司,台北巿開封街一段６９號,04207968,"SHINKO OPTICAL CO. LTD.","13-4 HONGO-3 CHOME BUNKYO-KU TOKYO JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第002073號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600207300,麻醉機,"""MANUFACTURAS MEDICAS"" ANAESTHETIC EQUIPMENT","0101 麻醉器",,"輸　入 ",臺灣東機貿有限公司,台北巿信義路四段２４８號３Ｆ,,"MANUFACTURAS MEDICAS, S.A","CALLE DE LA SOLANA 11 TORREJON DE ARDOZ, MADRID SPAIN",SPAIN,2001-12-30,,,,,
衛署醫器輸字第002074號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600207402,呼吸器,"""MANUFACTURAS MEDICAS"" VENTILATOR","0201 呼吸補助器",,"輸　入 ",臺灣東機貿有限公司,台北巿信義路四段２４８號３Ｆ,,"MANUFACTURAS MEDICAS, S.A","CALLE DE LA SOLANA 11 TORREJON DE ARDOZ, MADRID SPAIN",SPAIN,2001-12-30,,,,,
衛署醫器輸字第002075號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600207501,外科自動縫合針,"""SURGEONS CHOICE"" STAPLES","1503 縫合器或縫合釘",,"輸　入 ",臺灣東機貿有限公司,台北巿信義路四段２４８號３Ｆ,,"SURGEONS CHOICE INC.","530 OLD POST ROAD 3 GREENWICH CT 06830 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002076號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600207603,腦波計,"""HITTMAN"" ELECTROENCEPHALOGRAPH","0701 腦波計",,"輸　入 ",泰歷藥品儀器股份有限公司,台北巿承德路二段８１號１５樓之１,30884801,"HITTMAN MEDICAL SYSTEMS INC.","9050 RED BRANCH ROAD, COLUMBIA, MARYLAND 21045 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002077號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600207705,重症監視器,"""VITATEK"" MONITORS","0601 重症室及心臟加強監護",,"輸　入 ",華國醫器有限公司,台北巿信義路四段２４８號３樓,,VITATEK,"5215 N.E. ELAM YOUNG PARKWAY HILLSBORO OREGON 97123 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002078號,已註銷,1990-02-26,有效期限已屆,1987-06-09,1982-06-09,醫　器,,DHA00600207807,心臟超音波顯像器,"""E FOR M"" ULTRA IMAGER","1206 超音波診斷裝置",,"輸　入 ",全寧股份有限公司,台北巿青島東路７號３樓之１,03186901,"HONEYWELL MEDICAL ELECTRONICS DIVISION","DENVER, COLORADO 80217 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第010766號,,,,2014-07-15,2004-07-15,醫　器,,DHA00601076601,"""美敦力"" 漢克瓣膜導管","""MEDTRONIC"" HANCOCK VALVED CONDUIT","E 心臟血管用裝置",,"輸　入 ",美敦力醫療產品股份有限公司,台北市松山區敦化南路一段2號2樓,12690579,"MEDTRONIC HEART VALVES.","1851 EAST DEERE AVENUE SANTA ANA CA 92705 U.S.A.","UNITED STATES",2013-03-26,,,,,
衛署醫器輸字第002079號,已註銷,1991-11-26,自請註銷,1991-06-09,1982-06-09,醫　器,,DHA00600207909,外科用波爾龍縫合線（附針）,"""S & T"" PERLON SURGICAL SUTURE(WITH NEEDLE)","1608 聚酯外科縫合線（附針",,"輸　入 ",天山儀器股份有限公司,台北巿環河南路三段１６１號７樓,15861694,"USSC (DEUTSCHLAND) GMBH","POSTFACH 1140 ALLMENDWEG 2. D-7893, JESTETTEN (BRD) W. GERMANY",GERMANY,2001-12-30,,,,,
衛署醫器輸字第002080號,已註銷,1990-02-26,有效期限已屆,1987-06-14,1982-06-14,醫　器,,DHA00600208007,多頻道掃瞄紀錄器,"""E FOR M"" SIMULTRACE RECORDER","0699 其他",,"輸　入 ",全寧股份有限公司,台北巿青島東路７號３樓之１,03186901,"HONEYWELL MEDICAL ELECTRONICS DIVISION","DENVER, COLORADO 80217 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第004700號,已註銷,2007-07-20,許可證已逾有效期,1992-07-15,1987-07-15,醫　器,,DHA00600470008,生理計測儀,"""NIDEK"" ECHOSCAN","1299 其他",,"輸　入 ",樺瑩企業股份有限公司,臺北巿民生東路５段１６２號４樓之５,12176714,"NIDEK CO., LTD.","67-4, HAMA-CHO, GAMAGORI, AICHI",JAPAN,2007-08-24,,,,,
衛署醫器輸字第002081號,已註銷,1990-02-26,有效期限已屆,1987-06-14,1982-06-14,醫　器,,DHA00600208109,心電圖自動解析裝置,"""FUKUDA DENSHI"" AUTOMATIC ECG ANALYZER SYSTEM","0804 心電圖分析儀",,"輸　入 ",福田儀器股份有限公司,台北巿仁愛路一段４號４樓,03505829,"FUKUDA DENSHI CO. LTD.","39-4, HONGO 3-CHOME BUNKYO-KU TOKYO 113, JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第002082號,已註銷,1990-02-26,有效期限已屆,1987-06-14,1982-06-14,醫　器,,DHA00600208201,注射器,"""MIZZY"" SYRIJET","1106 注射機",,"輸　入 ",喬文實業股份有限公司,台北巿林森北路３７２號４Ｆ４０２室,04421670,"MIZZY INC.","CLIFTON FORGE VIRGINIA 24422 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002125號,已註銷,1990-02-26,有效期限已屆,1989-02-26,1982-07-09,醫　器,,DHA00600212503,人工骨釘,"""HOWMEDICA"" BONE SCREWS","0302 人工骨螺絲",,"輸　入 ",雄恆行股份有限公司,台北巿民權東路三段５８號八樓,03413602,"HOWMEDICA OSTEONICS CORP.","359 VETERANS BOULEVARD RUTHERFORD NEW JERSEY 07070-2584 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002083號,已註銷,2000-09-26,未展延而逾期者,1991-06-14,1982-06-14,醫　器,,DHA00600208300,定量點滴幫浦,"""VALLEYLAB"" VOLUMETRIC INFUSION PUMPS","1313 點滴量控制器",,"輸　入 ",香港商實密股份有限公司台灣分公司,台北巿民生東路３４４號５Ｆ,23525844,"VALLEYLAB INC.","5920 LONGBOW DRIVE P.O. BOX 9015 BOULDER COLORADO 80301 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002095號,已註銷,1992-07-14,列屬無須查驗登記項目範圍,1991-07-01,1982-07-01,醫　器,,DHA00600209507,肺機能測定器,"""FUKUDA SANGYO"" PULMO TESTER","0211 肺功能測定器",,"輸　入 ",福田儀器股份有限公司,台北巿仁愛路一段４號４樓,03505829,"FUKUDA SANGYO CO. LTD","NO. 1-6-15 IKENOHATA TAITO-KU TOKYO JAPAN",JAPAN,2001-12-30,,,,,
衛署醫器輸字第002096號,已註銷,1990-02-26,有效期限已屆,1987-07-01,1982-07-01,醫　器,,DHA00600209609,呼吸器,"""NEWPORT"" VENTILATOR","0201 呼吸補助器",,"輸　入 ",臺灣東機貿有限公司,台北巿信義路四段２４８號３Ｆ,,"NEWPORT MEDICAL INSTRUMENTS INC.","P.O. BOX 2600. NEW PORT BEACH, CALI. 92660 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第010767號,已註銷,2005-10-13,自請註銷,2009-07-16,2004-07-16,醫　器,,DHA00601076700,"""尼得可"" 二極體眼用雷射儀","""NIDEK"" LASER DIODE PHOTOCOAGULATOR","M 眼科用裝置",,"輸　入 ",展鑫有限公司,台北巿南港路三段５０巷１３號４樓,23126516,"NIDEK CO., LTD. HAMACHO PLANT","67-4,HAMA-CHO,GAMAGORI CITY,AICHI,443-0038 JAPAN",JAPAN,2005-10-13,,,,,
衛署醫器輸字第002097號,已註銷,1990-02-26,有效期限已屆,1987-07-01,1982-07-01,醫　器,,DHA00600209701,彈性皺型氧氣導管,"""HUDSON"" FLEXIBLE CORRUGATED TUBING","0208 氧氣導管",,"輸　入 ",新毅貿易股份有限公司,台北巿羅斯福路三段２７７號７樓Ｂ,,"HUDSON OXYGEN THERAPY SALES CO.","27711 DIAZ STREET TEMECULA CALIFORNIA 92390 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002109號,已註銷,2004-12-01,未展延而逾期者,1989-07-09,1982-07-09,醫　器,,DHA00600210905,塑膠注射筒附針,"""PHARMA"" DISPOSABLE SYRINGES WITH NEEDLE","1102 塑膠注射筒附針",,"輸　入 ",春菖貿易有限公司,台北巿基隆路一段１４７巷１０號１Ｆ,20833614,"PHARMA-PLAST A/S","KIRKE VAERLOSEVEJ 30 DK-3500 VAERLOSE",DENMARK,2004-12-06,,,,,
衛署醫器輸字第010806號,,,,2014-08-17,2004-08-17,醫　器,,DHA00601080600,"""光特"" 麥頓如雅克雷射系統","""Quantel"" Mydon Nd：YAG Laser System","I 一般及整型外科手術裝置",,"輸　入 ",守恆股份有限公司,台北市內湖區安美街１６３號９樓,16387900,"QUANTEL DERMA GMBH","AM WOLFSMANTEL 46, 91058 ERLANGEN, GERMANY",GERMANY,2011-03-08,,,,,
衛署醫器輸字第002110號,已註銷,1988-03-05,有效期間已屆未能補件,1987-07-09,1982-07-09,醫　器,,DHA00600211003,胎銅Ｔ避孕器,"""SEARLE"" TATUM-T (COPPER CONTRACEPTIVE)","2601 銅製避孕器",,"輸　入 ",凱盛國際股份有限公司,台北巿長安東路一段２３號７樓之３,11664948,"SEARLE LABORATORIES","DIVISION OF SEARLE PHARMACEUTICALS INC. BOX 5110 CHICAGO IL 60680 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002111號,已註銷,2004-11-17,未展延而逾期者,1993-07-09,1982-07-09,醫　器,,DHA00600211105,超音波治療器,"""ITO"" ULTRASOUND","1801 超音波治療器",,"輸　入 ",福泰貿易有限公司,台北巿博愛路２５號７樓之９,03530806,"ITO, CO. LTD","23-15, HAKUSAN 1-CHOME BUNKYO-KU TOKYO JAPAN (SILOYAMA)",JAPAN,2004-11-23,,,,,
衛署醫器輸字第002112號,已註銷,1991-11-21,自請註銷,1991-07-09,1982-07-09,醫　器,,DHA00600211207,低周波治療器,"""ITO"" LOW VOLT STIMULATOR","1805 低週波治療器",,"輸　入 ",福泰貿易有限公司,台北巿博愛路２５號７樓之９,03530806,"ITO, CO. LTD","23-15, HAKUSAN 1-CHOME BUNKYO-KU TOKYO JAPAN (SILOYAMA)",JAPAN,2001-12-30,,,,,
衛署醫器輸字第002124號,已註銷,1990-02-26,有效期限已屆,1989-02-26,1982-07-09,醫　器,,DHA00600212401,人工肩關節,"""HOWMEDICA"" SHOULDER PROSTHESES.","0334 人工關節",,"輸　入 ",雄恆行股份有限公司,台北巿民權東路三段５８號八樓,03413602,"HOWMEDICA OSTEONICS CORP.","359 VETERANS BOULEVARD RUTHERFORD NEW JERSEY 07070-2584 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002126號,已註銷,1990-02-26,有效期限已屆,1989-02-26,1982-07-09,醫　器,,DHA00600212605,人工肘關節,"""HOWMEDICA"" TOTAL ELBOW PROSTHESES.","0334 人工關節",,"輸　入 ",雄恆行股份有限公司,台北巿民權東路三段５８號八樓,03413602,"HOWMEDICA OSTEONICS CORP.","359 VETERANS BOULEVARD RUTHERFORD NEW JERSEY 07070-2584 U.S.A.","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第002127號,已註銷,1990-02-26,有效期限已屆,1989-02-26,1982-07-09,醫　器,,DHA00600212707,人工腕關節,"""HOWMEDICA"" TOTAL WRIST PROSTHESES.","0334 人工關節",,"輸　入 ",雄恆行股份有限公司,台北巿民權東路三段５８號八樓,03413602,"HOWMEDICA OSTEONICS CORP.","359 VETERANS BOULEVARD RUTHERFORD NEW JERSEY 07070-2584 U.S.A.","UNITED STATES",2001-12-30,,,,,
