,Q,A
91,關於大腸直腸癌，大腸癌早期有那些症狀？大腸癌末期還會出現哪些問題？,"常見症狀包括：

血便
長期或慢性的腹部不適
排便習慣改變（便秘、腹瀉）、大便型態改變（變細、變水）
時常有便意感，總感覺糞便無法排空
貧血、疲勞、虛弱、臉色蒼白
大腸癌如果發生轉移，常發生在肝、肺和骨頭等處，症狀會與轉移到的器官密切相關：

肝轉移：病人右上腹有悶悶的感覺，皮膚容易搔癢，嚴重會伴隨黃疸或腹水等問題。
肺轉移：晚上容易出現頻繁咳嗽、呼吸急促、咳血等問題，嚴重時會伴隨肋膜積水的發生。
骨轉移：骨頭容易疼痛、斷裂或骨折，血液檢測時可能會出現鈣離子偏高的現象。"
92,關於大腸直腸癌，藥物治療期間應該要吃甚麼？,"接受化學治療期間應避免生食及未煮熟的食物，並注意維持高
蛋白、高卡路里的食物，增加維生素 A 及C，以預防感染。"
93,"關於大腸直腸癌，藥物治療期間出現口腔
潰瘍時應如何照護？","化療期間應於餐後刷牙或漱口，並每日以牙線清潔牙縫一次，
以維持口腔清潔。口腔潰瘍時，食物質地宜採軟質或流質，並進
食無酸性、溫暖或涼的食物，以減少刺激。必要時向您的個案管
理師做進一步的照護諮詢。"
94,關於大腸直腸癌，手術後傷口痛，是否正常？,"手術後，如果傷口無紅、腫、熱及滲液，則為一般的傷口疼痛，
可服用醫師開立的止痛劑緩解疼痛。"
95,關於大腸直腸癌，手術後腸絞痛是否正常？,"手術後，腸道恢復蠕動，可能造成絞痛，為正常現象，如疼痛
影響作息，可與醫師討論以藥物緩解疼痛。如果手術後腸絞痛
且伴隨出現腹脹、嘔吐或超過 3 日未排便(腸阻塞通常會表現出
四大症狀1.腹痛，2.嘔吐，3.腹脹，4.便秘)，則建議至急診求治。"
96,"關於大腸直腸癌，手術返家後解血便，
是否有問題？","解少量血絲便或深色便可先觀察，如果解血塊或鮮血便，則建
議至急診求治。"
97,關於大腸直腸癌，什麼時後要至急診就醫呢?,1. 如果耳溫上升至38 度，隔一小時再量仍未下降或24小時內有兩次體溫上升至38度以上，或第一次測量體溫高燒至38.5度以上，即應至醫院掛急診，並告知急診醫師您的診斷及上次進行化學治療時間。2.大量血便、嚴重腹瀉、意識不清。3.劇烈疼痛、4.呼吸困難
98,關於大腸直腸癌，發生口腔黏膜炎要怎麼照顧?,請參考衛教資訊「癌症病人口腔黏膜炎照護須知」https://www.vghtc.gov.tw/APIPage/HealthEduDetail?PDFFILE=171E8DE8C97.pdf&PDFTITLE=%E7%99%8C%E7%97%87%E7%97%85%E4%BA%BA%E5%8F%
99,關於大腸直腸癌，發生口腔潰瘍要怎麼照顧?,請參考「化學治療-常見副作用(中)」https://www.youtube.com/watch?v=aBHLE-h6Y5M&feature=youtu.be
100,關於大腸直腸癌，化學治療需要注意什麼?,請參考「化學治療-常見副作用(上)」https://youtu.be/8P83kA7EnK8
101,關於大腸直腸癌，化學治療需要注意什麼?,請參考「化學治療-常見副作用(下)」https://youtu.be/ib4uP2m26bE
102,關於大腸直腸癌，我打完化療及標靶要出院了，回家需要注意什麼?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/332
103,關於大腸直腸癌，在化學治療期間我可以吃中藥進補嗎?,建議均衡飲食 或與您的主治醫師討論，需特別注意避免食用活血化瘀中藥材，如:當歸、川芎、人蔘。
104,關於大腸直腸癌，我便祕了怎麼辦?,請參考衛教資訊https://www.vghtc.gov.tw/UnitPage/RowViewDetail?WebRowsID=7b7cd96f-2d02-45e3-99d4-f41e6939384d&UnitID=18272b34-99f2-4b3a-9139-3959ac05f5a0&CompanyID=e8e0488e-54a0-44bf-b10c-d029c423f6e7&UnitDefaultTemplate=1
105,關於大腸直腸癌，治療沒食慾怎麼辦?,請參考衛教資訊https://www.youtube.com/watch?v=8mH4DkcAlGA&list=PLTuzBRPLNTXw7Qz615srtpSIXkDVl9CpH&index=4
106,關於大腸直腸癌，化療後感覺手麻腳麻的怎麼辦?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/1303
107,關於大腸直腸癌，人工血管要怎麼照顧?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/887
108,關於大腸直腸癌，治療中可以做什麼運動呢?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/572
109,關於大腸直腸癌，化學治療期間飲食衛教,"請參考衛教資訊
化學治療期間的飲食照護及營養支持-護理部衛教單張"
110,關於大腸直腸癌，心理衛教,"請參考衛教資訊
https://www.youtube.com/watch?v=Pv5QZ8KSbqQ&list=PLTuzBRPLNTXw8a9UJ1RCNxBRy-Cqt4gof&index=2&t=0s"
111,關於大腸直腸癌，大腸癌的治療有哪些新趨勢？有新的標靶治療或免疫治療可選擇？,"病人的自身身體狀況：如果病人的年紀輕、體能佳，比較可能接受藥效強的化學藥物，或是接受第二線、第三線的化療藥物，來達到比較好的治療效果。如果病人已是老年，治療會以溫和的療法考慮。
惡性腫瘤的特性：大腸癌不同位置有時會產生不同的特性，例如：近年透過基因分析技術發現，不同側的結腸癌在基因突變的型態有不同，可依此選擇合適的標靶藥物來進行治療。
病人本身基因的多樣性：簡單來說，不同的病人所具有的「體質」差異，對化學治療所使用的藥物代謝狀況也不同，可能發生程度不一的副作用，醫師藉由病人體內的基因，選擇對病人傷害較小的治療藥物。
癌細胞分子特性或標記：這些特徵可以做為化學治療或標靶藥物的選擇依據，常見的癌症相關基因有：RAS、BRAF、HER2、MSI 等。"
112,關於大腸直腸癌，我多久要追蹤一次,"可再與醫師討論，
建議3-6個月定期回診檢查追蹤"
113,關於大腸直腸癌，我可以回職場嗎?,"視工作場合，自我評估
整體狀況，適時回歸職場"
114,關於大腸直腸癌，我可以運動嗎?,"視個人身體狀況及體力
漸近式增加運動質量"
115,關於大腸直腸癌，藥物治療期間應該要吃甚麼？,"接受化學治療期間應避免生食及未煮熟的食物，並注意維持高
蛋白、高卡路里的食物，增加維生素 A 及C，以預防感染。"
116,"關於大腸直腸癌，藥物治療期間出現口腔
潰瘍時應如何照護？","化療期間應於餐後刷牙或漱口，並每日以牙線清潔牙縫一次，
以維持口腔清潔。口腔潰瘍時，食物質地宜採軟質或流質，並進
食無酸性、溫暖或涼的食物，以減少刺激。必要時向您的個案管
理師做進一步的照護諮詢。"
117,關於大腸直腸癌，手術後傷口痛，是否正常？,"手術後，如果傷口無紅、腫、熱及滲液，則為一般的傷口疼痛，
可服用醫師開立的止痛劑緩解疼痛。"
118,關於大腸直腸癌，手術後腸絞痛是否正常？,"手術後，腸道恢復蠕動，可能造成絞痛，為正常現象，如疼痛
影響作息，可與醫師討論以藥物緩解疼痛。如果手術後腸絞痛
且伴隨出現腹脹、嘔吐或超過 3 日未排便(腸阻塞通常會表現出
四大症狀1.腹痛，2.嘔吐，3.腹脹，4.便秘)，則建議至急診求治。"
119,"關於大腸直腸癌，手術返家後解血便，
是否有問題？","解少量血絲便或深色便可先觀察，如果解血塊或鮮血便，則建
議至急診求治。"
120,關於大腸直腸癌，什麼時後要至急診就醫呢?,1. 如果耳溫上升至38 度，隔一小時再量仍未下降或24小時內有兩次體溫上升至38度以上，或第一次測量體溫高燒至38.5度以上，即應至醫院掛急診，並告知急診醫師您的診斷及上次進行化學治療時間。2.大量血便、嚴重腹瀉、意識不清。3.劇烈疼痛、4.呼吸困難
121,關於大腸直腸癌，發生口腔黏膜炎要怎麼照顧?,請參考衛教資訊「癌症病人口腔黏膜炎照護須知」https://www.vghtc.gov.tw/APIPage/HealthEduDetail?PDFFILE=171E8DE8C97.pdf&PDFTITLE=%E7%99%8C%E7%97%87%E7%97%85%E4%BA%BA%E5%8F%
122,關於大腸直腸癌，發生口腔潰瘍要怎麼照顧?,請參考「化學治療-常見副作用(中)」https://www.youtube.com/watch?v=aBHLE-h6Y5M&feature=youtu.be
123,關於大腸直腸癌，化學治療需要注意什麼?,請參考「化學治療-常見副作用(上)」https://youtu.be/8P83kA7EnK8
124,關於大腸直腸癌，化學治療需要注意什麼?,請參考「化學治療-常見副作用(下)」https://youtu.be/ib4uP2m26bE
125,關於大腸直腸癌，我打完化療及標靶要出院了，回家需要注意什麼?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/332
126,關於大腸直腸癌，在化學治療期間我可以吃中藥進補嗎?,建議均衡飲食 或與您的主治醫師討論，需特別注意避免食用活血化瘀中藥材，如:當歸、川芎、人蔘。
127,關於大腸直腸癌，我便祕了怎麼辦?,請參考衛教資訊https://www.vghtc.gov.tw/UnitPage/RowViewDetail?WebRowsID=7b7cd96f-2d02-45e3-99d4-f41e6939384d&UnitID=18272b34-99f2-4b3a-9139-3959ac05f5a0&CompanyID=e8e0488e-54a0-44bf-b10c-d029c423f6e7&UnitDefaultTemplate=1
128,關於大腸直腸癌，治療沒食慾怎麼辦?,請參考衛教資訊https://www.youtube.com/watch?v=8mH4DkcAlGA&list=PLTuzBRPLNTXw7Qz615srtpSIXkDVl9CpH&index=4
129,關於大腸直腸癌，化療後感覺手麻腳麻的怎麼辦?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/1303
130,關於大腸直腸癌，人工血管要怎麼照顧?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/887
131,關於大腸直腸癌，治療中可以做什麼運動呢?,請參考衛教資訊https://ihealth.vghtc.gov.tw/media/572
132,關於大腸直腸癌，化學治療期間飲食衛教,"請參考衛教資訊
化學治療期間的飲食照護及營養支持-護理部衛教單張"
133,關於大腸直腸癌，心理衛教,"請參考衛教資訊
https://www.youtube.com/watch?v=Pv5QZ8KSbqQ&list=PLTuzBRPLNTXw8a9UJ1RCNxBRy-Cqt4gof&index=2&t=0s"
134,關於大腸直腸癌，大腸癌後續生活有哪些影響？有那些徵兆與大腸癌復發有關？,"初期，病友勢必也會不太敢運動或不想長時間外出、旅遊，其實，在術後 2 個月待會陰部傷口癒合時，就可恢復運動，游泳、登山、慢跑等一般活動了。而外出時，只要隨身攜帶足夠的造口護理器材以及防止腹瀉的藥物，也依然可以自在旅行。但一開始一定會覺得限制，不須太心急，慢慢適應、學習，也可多聽其他病友過來人的經驗分享。

大腸癌手術過後每年應進行糞便潛血反應檢測、建議 3 年接受一次大腸鏡檢查，追蹤癌症復發情況。"
135,關於大腸直腸癌，什麼是安寧緩和?,請參考本院衛教資訊https://ihealth.vghtc.gov.tw/media/1253
136,關於大腸直腸癌，家人已經疾病末期了，我可以怎麼做準備?,請參考本院衛教資訊https://ihealth.vghtc.gov.tw/media/1066
137,關於乳癌，乳房超音波、乳房攝影、核磁共振，哪個可以揪出乳癌？,"乳房超音波：主要針對可觸摸到的腫塊，能快速辨別腫塊良惡性，判別是水瘤（或稱囊腫）還是實心腫瘤。且乳房攝影對於偵測比較緻密的乳房敏感度較低，超音波能彌補其不足。但對於脂肪含量較高的乳房，如果腫瘤與脂肪均為相同回音性質，超音波就比較難加以區辨。
乳房X光攝影：找出早期乳癌可能的微鈣化斑、局部結構扭曲、不對稱或腫塊等，再配合其他檢查，可發現早期癌症病癥，提高存活率。但東方女性乳房組織緻密，乳房攝影不易判讀，較容易有偽陰性。不過，對於無法觸摸（無症狀）的早期病灶，乳房攝影仍有其不可取代的角色。
核磁共振：無法偵測微鈣化斑，不能作為大量篩檢的工具。但台大醫院影像醫學部主任張允中指出，做核磁共振需要注射顯影劑，可以把有問題的組織與正常組織區分開來，對比明顯，就能抓出乳房軟組織的病灶，不像乳房攝影和超音波會受組織是否緻密、脂肪含量多少的影響
此外，對於BRCA基因突變相關的遺傳性乳癌，核磁共振也有較高的偵測率。
使用核磁共振也較容易找到具侵襲性的原位癌，並偵測多發性乳癌；曾接受隆乳手術的女性也適合核磁共振。
台灣乳房醫學會榮譽理事長暨台北醫學大學附設醫院乳房外科教授沈陳石銘表示，一般女性40歲以前乳房非常緻密，且鈣化機會不高，如果檢查結果正常，只要固定半年～1年做1次超音波檢查即可。
但40歲以上易有鈣化產生，建議1年半～2年做1次乳房攝影，期間可視需要配合做超音波檢查。
"
138,關於乳癌，乳房篩檢是幫助早期發現乳癌徵兆的重要管道。乳房超音波和乳房攝影有什麼差別？各自適合什麼樣的人？,"乳房攝影就是乳房X光攝影，需要用機器將乳房壓緊，以增加對比及解析度，壓得越緊密、影像越清楚。一般來說，使用低輻射劑量Ｘ光透視乳房的乳房攝影技術，適合 50 歲以上無症狀婦女之乳癌篩檢。同時歐美國家研究證實，定期乳房攝影篩檢，約可降低 20 % ~ 30 % 乳癌死亡率 。但年輕人的乳房組織緻密，用乳房Ｘ光攝影反而較難看出腫瘤。相較之下，乳房超音波不受組織緊密程度影響，可以直接分辨，適合作為年輕女性的乳房疾病篩檢。
單純的乳房超音波是屬於非侵入性檢查，對身體不會有傷害或副作用，也沒有輻射線，檢查時間大約 10 ～ 20 分鐘。它是利用高頻率探頭（7 ～ 10MHz）發射超音波來掃瞄乳房及腋下，經由超音波的反射，再將反射的音波資訊傳送至電腦而整合出乳房影像。
但超音波也有可能看不到早期的癌前病變，特別是鈣化的表徵。因此乳房超音波最好搭配醫師觸診或Ｘ光攝影。
當乳房Ｘ光攝影發現乳房腫塊的話，乳房超音波也能對發現的腫塊，做進一步的檢查，醫師也會藉由駐診的觸感來判斷。若腫塊是浮動、平滑的，則可能是良性的囊腫或腺瘤；若摸起來是硬的、邊緣不規則的，則惡性的機率高。在檢查中有發現不正常的腫塊，可以配合侵入性的穿刺檢查，來得到進一步的診斷 。
"
139,關於乳癌，懷疑罹患乳癌，是不是一定要進行切片手術？,無論是乳房攝影或是乳房超音波，甚至是乳房核磁共振攝影、正子掃描等，都僅能做為乳癌的輔助診斷，若要確立診斷仍必須仰賴切片檢查病理報告來當做後續治療的依據。
140,關於乳癌，粗針組織切片（Core Biopsy）,"粗針組織切片是使用粗針頭來取得組織，必須施打局部麻醉藥後才可進行，且需經由同一針孔，取樣至少4 次，過程會較耗時，較細針抽吸痛。因為過程並非將整個腫塊移除，因此不會有疤痕。由於取樣範圍較大，化驗結果也比細針抽吸更為正確，罕有偽陽性或偽陰性。但對於小於1 公分的病灶，使用粗針組織切片則較難精準達成。
粗針組織切片同時可提供乳房腫瘤是原位癌或侵襲癌的資訊，這對日後是否需做前哨淋巴結摘除有所幫助，另外，粗針組織切片所採取的組織可進行荷爾蒙接受體（ER/PR）及人類表皮生長因子第二型接受體（HER2）檢驗，這些資訊是細針抽吸無法提供的，因此臨床上高度懷疑惡性病灶時多以此方法來確定診斷。
雖然粗針組織切片的準確度高，但對於複雜度較高的少數病灶，仍有可能無法確認結果，必須重複進行粗針組織切片，或者進一步採取真空立體定位輔助切片或外科手術切片，才能得到真正的病理檢驗結果。
"
141,"關於乳癌，真空立體定位輔助切片（Vacuum-Assisted Biopsy,VAB）","真空立體定位輔助切片是利用超音波、乳房攝影、核磁共振攝影等方式做指引，在真空輔助下，把組織吸入切片槽中，如此可使切片取樣更完整、更多數，以降低偽陰性的可能，甚至可像外科開刀般將病灶大部分移除。傷口小，沒有明顯的疤痕，又能達到取樣充足、準確性高的效果。
臨床上，大多用於以細針抽吸及粗針組織切片無法確認的病灶，或者是對不確定及可疑的抽吸、切片結果，但又不想進行外科手術切除時，即可選擇真空立體定位輔助切片。
好處在於如果切片結果證明是良性腫瘤時，就能免除手術，萬一證實為惡性時，仍需進行病灶定位，進行局部廣泛性乳房腫瘤切除或/ 及淋巴結摘除術。
"
142,關於乳癌，外科手術切片（Excisional Biopsy）,"外科手術切片是在臨床上或影像上懷疑腫塊為惡性，但細針抽吸或粗針組織切片，都無法獲得證實或無法執行時，才會由外科醫師經由手術的方式，將腫塊或疑似異常的部位盡可能做完整切除，以取得組織進行病理檢驗，了解組織的屬性，這可說是唯一能夠立即獲得腫瘤正確診斷的方式。
當必須藉由外科手術切片確認乳房腫瘤是否為惡性時，必要時會在取出的手術檢體上標註相關位置，以利於在確認惡性的情形後，對切除邊緣進行評估，判斷是否需要擴大切除範圍。
"
143,關於乳癌，為什麼要做 ERBB2（HER2）檢查？,"ErbB2（HER2、Neu、CD340、p185）是人類上皮因子接受體第二型蛋白（Human Epidermal Growth Factor Receptor 2），分布於細胞膜上，為一種穿膜蛋白，是ErbB2（HER2）基因的蛋白質產物。其在細胞膜上具有接受器，能接受細胞外的訊息，並傳遞至細胞核以調控細胞。在正常細胞的生長情況下，ErbB2（HER2）基因一般有兩對，只會在細胞膜表面製造少量的 ErbB2（HER2）接受體蛋白，這些蛋白兩兩成一對，與傳達細胞生長、以及管控細胞的正常分裂有關。
在某些情形下，ErbB2（HER2）基因會過度表現，造成細胞膜表面的 ErbB2（HER2）接受體蛋白過度表現，進而刺激細胞生長與分裂，使得細胞成長加快。在過去許多的研究中，都發現了有大約 20~30% 的乳癌病人其癌細胞會有 ErbB2（HER2）接受體蛋白的過度生長，且與乳癌病人的疾病惡化與病程有密不可分的關聯性，因此現今大多數乳房專科醫師在診斷病人時，均會一併檢測 ErbB2 （HER2）接受體蛋白的表現情形，以便針對病人的個人化治療做進一步地評估。
"
144,關於乳癌，我是 HER-2 陽性嗎?,以下兩種方法都可以得知 HER-2 基因的狀態。通常醫師會先以組織免疫染色 IHC 進行檢測，若得知的結果是弱陽性時，則會進一步以 FISH 方式檢測。目前兩種方法都有健保給付。
145,關於乳癌，甚麼是三陰性型乳癌,所謂三陰性型乳癌，即是指 ER 陰性、PR 陰性，及 HER2 也呈現陰性的腫瘤。這類腫瘤並不完全和基因分析所得的基底細胞型相同；大致上，約 75% 的三陰性型病患屬於基底細胞型，而同樣的，75% 的基底細胞型屬於三陰性型，因此三陰性型乳癌病患和基底細胞型乳癌有許多共同的特徵，也就導致這兩者常常相提並論。依據最近的研究結果，三陰性型病患中不屬於基底細胞型的病患在微距陣列基因分析也有特點，而目前被稱為 claudin-low 型，約佔三陰性型病患的 25%，而佔所有病患的 5~10%。
146,關於乳癌，乳癌遺傳,"新診斷患有乳腺癌的年輕婦女面對許多的未知數：診斷對我的未來意味著什麼？什麼樣的治療最好？我繼承了一個高風險的基因嗎？我的癌症如果是遺傳的，對我的孩子或孫子有什麼影響？

 

BRCA1/2 基因及基因突變的帶原者

乳腺癌基因1號(BRCA1)及乳腺癌基因2號(BRCA2)分別在1990年及1994年間被科學家發現，這BRCA1位於人體的第17號染色體上，而BRCA2位於第13號染色體上，對於細胞損傷修復、細胞的正常生長方面扮演重要角色。如果BRCA1/2基因發生了突變，常常會造成BRCA1/2基因功能喪失，那麼帶有此BRCA1/2基因突變的細胞所具有的細胞修復功能就會受影響，長期下來將導致正常細胞染色體不穩定，發生「癌化」 (變成癌細胞)現象。目前發現和BRCA1和BRCA2基因突變相關的癌症最常見的為遺傳性乳腺癌和卵巢癌，而BRCA1/2基因突變的人罹患其他癌症如前列腺癌及大腸癌的終身風險也高於正常人。BRCA1/2基因的突變遺傳方式屬於“常染色體顯性遺傳”（也就是說不是某一性別特有，且不是所有突變攜帶者都會罹患癌症），研究顯示有​​BRCA1基因突變者，罹患乳腺癌和卵巢癌的終身風險分別是50%-85%和15%-45%，而有BRCA2基因突變者，患乳腺癌和卵巢癌的終身風險分別是50%-85%和10%-20%。
BRCA1/2 基因突變對於癌症治療的影響。對於已知有BRCA1/2 基因突變的轉移性乳癌患者而言，目前多了一個治療的曙光: PARP抑制劑。此類口服標靶藥物可有效促使BRCA1/BRCA2基因有缺陷的癌細胞產生凋亡， 2017年有兩個針對帶有BRCA1/2 基因突變的轉移性乳癌患者使用的PARP抑制劑治療成功的第3期臨床試驗，研究結果指出相較於標準化療，這類遺傳基因帶原者的轉移性乳癌病患接受口服PARP抑制劑治療可以有更好的延緩疾病進展療效。 而在這之前美國FDA已於2014加速核准其中一個PARP抑制劑olaparib用於治療與BRCA基因缺陷相關的晚期卵巢癌婦女。
基因檢測和遺傳諮詢
遺傳基因檢測非常複雜，這絕不是一個簡單的血液測試， 解釋不僅取決於測試結果，還取決於個人和家庭的病史。現在越來越多基因檢測公司提供所謂癌症基因篩檢，可能會衍生一些值得我們深思與重視的問題，例如：檢測結果可能帶來的焦慮與不安及需要的心理調適，基因篩檢結果的隱私及保密，及後面接續的癌症篩檢及長期照護計畫的制定，包含倫理、醫療與人性等都是很重要的議題。
何時我該做基因檢測和遺傳諮詢?
遺傳諮詢通常建議在遺傳性癌症綜合徵的基因檢測前後進行。
這種諮詢應由具有癌症遺傳學經驗的醫療專業人員進行。遺傳諮詢通常涵蓋測試過程的許多方面，包括：
基於個人和家庭病史的遺傳性癌症風險評估
討論基因檢測的適宜性
正面或負面測試結果的醫療含意
測試結果可能無法提供信息的可能性
基因檢測結果的心理風險和好處
將突變傳給兒童的風險
 

何時建議BRCA 遺傳基因檢測?

如果已經是乳癌病患

50歲以前確診的乳腺癌
得到兩側乳癌
乳房和卵巢癌都在同一個女性病患或同一個家庭
多個乳腺癌
一個家庭成員中有兩種或兩種以上的BRCA1或BRCA2相關癌症的主要類型
男性乳腺癌病例
德系猶太民族
如果我是其他癌症患者或年輕女性

在家族血親中有人已知帶有BRCA基因突變
卵巢癌及腹膜癌的婦女
直系親屬一等親或二等親人中有一人是卵巢癌或是在45歲以前有乳癌
有至少兩位三等親以內的直系親屬曾得過乳癌(其中一人得乳癌的罹病年齡在50歲之前"
147,關於乳癌，乳癌基因檢測,"以下乳癌高危險群還是可以考慮做基因檢測：
有明顯的乳癌、卵巢癌、胰臟癌或高度轉移的攝護腺癌家族史
家族中有人在 50 歲前罹患乳癌
家族中有人在 60 歲前罹患三陰性乳癌
家族中有人同時罹患乳癌和卵巢癌，或同一人罹患兩次乳癌
家族中有男性罹患乳癌
目前可以檢驗的遺傳性乳癌多基因突變檢測健保並不給付，需自費約 2 ~ 4.3 萬元。

乳癌基因檢測異常怎麼辦？有 4 種因應對策：
1.調整生活方式
包括哺乳、規律運動、控制體重及節制飲酒，也要避免荷爾蒙補充療法。
2.嚴密追蹤
建議 25 歲開始，半年 ~ 1 年接受 1 次乳房專科檢查，包括乳房影像檢查。或者最好比家族中最早被診斷出乳癌的年紀提早 10 年固定做乳房檢查，只要發現乳房任何異常或腋窩結節，應立刻就醫。
尤其核磁共振是敏感度最高的檢查工具，對於乳癌基因檢測異常的高危險族群，25 歲開始就能每年做 1 次乳房核磁共振，30 歲後搭配每年 1 次乳房Ｘ光攝影及超音波檢查，這樣既可提早發現異常，又可兼顧避免過早暴露於診斷的Ｘ光輻射，而提高罹患乳癌的風險。若無法做核磁共振，可以採 30 歲前每半年做乳房超音波，30 歲後每年加做乳房Ｘ光攝影。【推薦閱讀：乳房超音波或乳房攝影懷疑是乳癌，必須做切片檢查才能確定診斷？】
3.預防性用藥
部分文獻顯示，乳房高危險群服用抗雌激素藥物如泰莫西芬或芳香酶抑制劑，能降低有乳癌家族病史的人乳癌發生機率；也有研究認為，乳癌患者使用泰莫西芬能降低對側乳癌發生率。但預防性投藥的效果還有待更多驗證。
4.預防性手術
雙邊預防性乳房切除手術是減少乳癌風險最有效的方式之一，最高可降低 9 成左右的風險。但是，預防性切除並非一勞永逸，胸部仍會有摘不乾淨的乳腺組織，即便預防性切除乳房，仍有 5 ~ 10 ％ 機率在日後罹患乳癌。原則上，預防性乳房切除手術的時機，以年輕女性效果較佳。
"
148,關於乳癌，若得到乳癌，該從醫師那裡知道什麼？,"在台灣，乳癌是發生率最高的癌症，每年會有超過一萬名的女性同胞新診斷罹患這個惱人的疾病。當醫師告訴病患可能罹患乳癌時，我們建議病患就應該開始儘可能收集病情的有關資訊。
這些資料可大分為二類，特別是針對早期乳癌而言；第一類是手術前的資訊：乳房腫瘤發生於乳房的那個部位，腫瘤本身有多大，腋下淋巴結是否可能有轉移、身體其他器官是否轉移，這些資料我們稱為臨床分期。根據這些初步資料，病患就可以和醫師討論手術的術式；若腫瘤較小（如小於2公分）或相對於乳房整個體積仍屬小範圍，為了將來乳房部位的美觀，病患其實可以選擇乳房保留手術；在台灣，乳癌病患採取乳房全切除手術的比例一直比歐美國家高，而合併局部放射治療的乳房保留手術其實效果和改良型乳房全切除手術效果一樣好，所以病患可以和醫師討論採用乳房保留手術的可能性。
另一個醫界已廣泛採行的是腋下前哨淋巴切片術；針對在影像學檢查（如乳房超音波及乳房X光攝影檢查）腋下淋巴結不像有乳癌轉移的病患，外科醫師可以在手術施行的之前或同時，由乳房的腫瘤病灶打入標記物質（如染色劑或放射性同位素），然後在同側腋下取出最先染上標記的淋巴結，以病理檢查方式判斷是否腋下淋巴結遭受癌細胞轉移；若有，則可進一步進行腋下淋巴結清除術：將腋下淋巴結清除乾淨；若無，則可免除上述手術及其將來所可能帶來的副作用，包括上肢淋巴水腫、肩關節行動不便與疼痛等。另一方面，病患也可和醫師討論是否在乳癌手術的同時，立即進行乳房重建，這些都是選擇乳癌手術是否影響未來美觀的重點，而且並不會因此降低手術的成功率。

 

再來我們要談的是乳癌手術後病患所應獲得的資訊，這個資訊主要是病理報告的部分，包括腫瘤的實際大小（Tumor，T），腋下淋巴結是否轉移及轉移的個數（Node，N），加上臨床及病理判斷其他器官是否轉移（Metastasis，M），這些資訊我們稱為病理分期。除了病理分期之外，病患還儘量應該知道的資訊包括：荷爾蒙接受體（指動情素接受體ER，及黃體素接受體PR）是否陽性，最好更知道陽性細胞的百分比；HER2是否陽性；細胞惡性度的分級（分1~3級，第3級較惡性）；在腫瘤周圍是否有微血管及淋巴管的侵犯等。有了這些資料，病患就可以和醫師進一步討論將來所需要的治療。
舉例而言，腫瘤越大（特別是大於5公分），腋下淋巴結有轉移（尤其是大於4顆），低荷爾蒙接受體的表現，細胞惡性度第3級，腫瘤周圍有明顯的微血管及淋巴管侵犯，HER2陽性等這些都是可能必須化學治療及選擇化學治療藥物的依據。反之，若腫瘤小（如小於2公分），腋下淋巴結無轉移，荷爾蒙接受體高表現（如大於50%），細胞惡性度為第一級，腫瘤周圍沒有微血管及淋巴管轉移，HER2陰性等，這些因子的表現就可能讓病患只接受荷爾蒙治療的可能性大增。另一方面，HER2陽性的病患，接受標靶治療(trastuzumab，Herceptin，賀癌平)合併化學治療預防復發的效果最好。而手術後放射治療的適應症則包括：腫瘤較大（如大於5公分），腋下淋巴結陽性（特別是超過4顆），及接受乳房保留手術的病患等。當然，在現在及未來我們也已有一些乳癌基因表現分析的工具，將來可使「個人化治療」這件事做的更完美。
由上述這些簡單的說明，病患就可大致上瞭解自己將準備接受的治療內容，也許就會發現乳癌並不可怕，自己的病情與治癒的機會就掌握在自己手中。
"
